Epoch: 001, aver_loss : 0.45941, R@20: 0.0090, N@20: 0.0073, time:83.32 seconds
Epoch: 002, aver_loss : 0.30676, R@20: 0.0111, N@20: 0.0089, time:83.38 seconds
Epoch: 003, aver_loss : 0.26118, R@20: 0.0136, N@20: 0.0107, time:83.38 seconds
Epoch: 004, aver_loss : 0.23219, R@20: 0.0149, N@20: 0.0118, time:83.39 seconds
Epoch: 005, aver_loss : 0.21187, R@20: 0.0161, N@20: 0.0127, time:83.39 seconds
Epoch: 006, aver_loss : 0.19623, R@20: 0.0169, N@20: 0.0133, time:83.39 seconds
Epoch: 007, aver_loss : 0.18321, R@20: 0.0177, N@20: 0.0140, time:83.39 seconds
Epoch: 008, aver_loss : 0.17246, R@20: 0.0184, N@20: 0.0146, time:83.38 seconds
Epoch: 009, aver_loss : 0.16297, R@20: 0.0190, N@20: 0.0151, time:83.39 seconds
Epoch: 010, aver_loss : 0.15499, R@20: 0.0195, N@20: 0.0155, time:83.39 seconds
Epoch: 011, aver_loss : 0.14833, R@20: 0.0200, N@20: 0.0159, time:83.40 seconds
Epoch: 012, aver_loss : 0.14254, R@20: 0.0204, N@20: 0.0163, time:83.42 seconds
Epoch: 013, aver_loss : 0.13733, R@20: 0.0208, N@20: 0.0165, time:83.42 seconds
Epoch: 014, aver_loss : 0.13305, R@20: 0.0212, N@20: 0.0168, time:83.41 seconds
Epoch: 015, aver_loss : 0.12951, R@20: 0.0214, N@20: 0.0170, time:83.42 seconds
Epoch: 016, aver_loss : 0.12557, R@20: 0.0217, N@20: 0.0172, time:83.40 seconds
Epoch: 017, aver_loss : 0.12232, R@20: 0.0218, N@20: 0.0173, time:83.42 seconds
Epoch: 018, aver_loss : 0.11972, R@20: 0.0221, N@20: 0.0175, time:83.42 seconds
Epoch: 019, aver_loss : 0.11695, R@20: 0.0222, N@20: 0.0176, time:83.43 seconds
Epoch: 020, aver_loss : 0.11507, R@20: 0.0224, N@20: 0.0177, time:83.41 seconds
Epoch: 021, aver_loss : 0.11229, R@20: 0.0225, N@20: 0.0178, time:83.43 seconds
Epoch: 022, aver_loss : 0.11000, R@20: 0.0227, N@20: 0.0180, time:83.44 seconds
Epoch: 023, aver_loss : 0.10768, R@20: 0.0229, N@20: 0.0182, time:83.45 seconds
Epoch: 024, aver_loss : 0.10525, R@20: 0.0231, N@20: 0.0183, time:83.42 seconds
Epoch: 025, aver_loss : 0.10381, R@20: 0.0233, N@20: 0.0184, time:83.42 seconds
Epoch: 026, aver_loss : 0.10188, R@20: 0.0234, N@20: 0.0185, time:83.42 seconds
Epoch: 027, aver_loss : 0.10006, R@20: 0.0234, N@20: 0.0186, time:83.43 seconds
Epoch: 028, aver_loss : 0.09828, R@20: 0.0238, N@20: 0.0188, time:83.41 seconds
Epoch: 029, aver_loss : 0.09698, R@20: 0.0239, N@20: 0.0189, time:83.43 seconds
Epoch: 030, aver_loss : 0.09532, R@20: 0.0241, N@20: 0.0191, time:83.43 seconds
Epoch: 031, aver_loss : 0.09333, R@20: 0.0242, N@20: 0.0192, time:83.43 seconds
Epoch: 032, aver_loss : 0.09192, R@20: 0.0243, N@20: 0.0192, time:83.41 seconds
Epoch: 033, aver_loss : 0.09036, R@20: 0.0245, N@20: 0.0193, time:83.42 seconds
Epoch: 034, aver_loss : 0.08899, R@20: 0.0246, N@20: 0.0195, time:83.42 seconds
Epoch: 035, aver_loss : 0.08805, R@20: 0.0249, N@20: 0.0196, time:83.42 seconds
Epoch: 036, aver_loss : 0.08702, R@20: 0.0251, N@20: 0.0198, time:83.43 seconds
Epoch: 037, aver_loss : 0.08528, R@20: 0.0253, N@20: 0.0200, time:83.41 seconds
Epoch: 038, aver_loss : 0.08407, R@20: 0.0254, N@20: 0.0200, time:83.42 seconds
Epoch: 039, aver_loss : 0.08276, R@20: 0.0255, N@20: 0.0201, time:83.42 seconds
Epoch: 040, aver_loss : 0.08184, R@20: 0.0255, N@20: 0.0202, time:83.40 seconds
Epoch: 041, aver_loss : 0.08096, R@20: 0.0258, N@20: 0.0203, time:83.43 seconds
Epoch: 042, aver_loss : 0.08020, R@20: 0.0259, N@20: 0.0204, time:83.42 seconds
Epoch: 043, aver_loss : 0.07888, R@20: 0.0260, N@20: 0.0205, time:83.43 seconds
Epoch: 044, aver_loss : 0.07816, R@20: 0.0261, N@20: 0.0206, time:83.43 seconds
Epoch: 045, aver_loss : 0.07737, R@20: 0.0262, N@20: 0.0207, time:83.42 seconds
Epoch: 046, aver_loss : 0.07650, R@20: 0.0264, N@20: 0.0208, time:83.41 seconds
Epoch: 047, aver_loss : 0.07534, R@20: 0.0265, N@20: 0.0208, time:83.44 seconds
Epoch: 048, aver_loss : 0.07429, R@20: 0.0265, N@20: 0.0209, time:83.41 seconds
Epoch: 049, aver_loss : 0.07404, R@20: 0.0266, N@20: 0.0210, time:83.43 seconds
Epoch: 050, aver_loss : 0.07278, R@20: 0.0267, N@20: 0.0211, time:83.41 seconds
Epoch: 051, aver_loss : 0.07217, R@20: 0.0268, N@20: 0.0212, time:83.42 seconds
Epoch: 052, aver_loss : 0.07124, R@20: 0.0270, N@20: 0.0213, time:83.41 seconds
Epoch: 053, aver_loss : 0.07086, R@20: 0.0272, N@20: 0.0214, time:83.42 seconds
Epoch: 054, aver_loss : 0.06968, R@20: 0.0272, N@20: 0.0215, time:83.42 seconds
