Epoch: 001, aver_loss : 0.09162, R@20: 0.0315, N@20: 0.0241, time:18.01 seconds
Epoch: 002, aver_loss : 0.05944, R@20: 0.0357, N@20: 0.0276, time:18.02 seconds
Epoch: 003, aver_loss : 0.04885, R@20: 0.0377, N@20: 0.0294, time:18.00 seconds
Epoch: 004, aver_loss : 0.04363, R@20: 0.0390, N@20: 0.0305, time:17.99 seconds
Epoch: 005, aver_loss : 0.03891, R@20: 0.0400, N@20: 0.0315, time:18.00 seconds
Epoch: 006, aver_loss : 0.03498, R@20: 0.0402, N@20: 0.0318, time:18.00 seconds
Epoch: 007, aver_loss : 0.03185, R@20: 0.0411, N@20: 0.0326, time:17.99 seconds
Epoch: 008, aver_loss : 0.02896, R@20: 0.0415, N@20: 0.0332, time:17.99 seconds
Epoch: 009, aver_loss : 0.02646, R@20: 0.0416, N@20: 0.0331, time:17.99 seconds
Epoch: 010, aver_loss : 0.02412, R@20: 0.0418, N@20: 0.0334, time:17.99 seconds
Epoch: 011, aver_loss : 0.02255, R@20: 0.0411, N@20: 0.0328, time:17.99 seconds
Epoch: 012, aver_loss : 0.02150, R@20: 0.0406, N@20: 0.0327, time:17.99 seconds
Epoch: 013, aver_loss : 0.02021, R@20: 0.0404, N@20: 0.0324, time:17.99 seconds
Epoch: 014, aver_loss : 0.01948, R@20: 0.0401, N@20: 0.0321, time:17.99 seconds
Epoch: 015, aver_loss : 0.01897, R@20: 0.0397, N@20: 0.0320, time:17.99 seconds
Epoch: 016, aver_loss : 0.01799, R@20: 0.0389, N@20: 0.0314, time:17.99 seconds
Epoch: 017, aver_loss : 0.01751, R@20: 0.0389, N@20: 0.0311, time:17.99 seconds
Epoch: 018, aver_loss : 0.01718, R@20: 0.0381, N@20: 0.0308, time:17.99 seconds
Epoch: 019, aver_loss : 0.01629, R@20: 0.0381, N@20: 0.0307, time:18.02 seconds
Epoch: 020, aver_loss : 0.01606, R@20: 0.0382, N@20: 0.0307, time:17.99 seconds
Epoch: 021, aver_loss : 0.01590, R@20: 0.0382, N@20: 0.0305, time:18.00 seconds
Epoch: 022, aver_loss : 0.01545, R@20: 0.0372, N@20: 0.0300, time:17.99 seconds
Epoch: 023, aver_loss : 0.01555, R@20: 0.0381, N@20: 0.0307, time:17.99 seconds
Epoch: 024, aver_loss : 0.01460, R@20: 0.0372, N@20: 0.0299, time:17.99 seconds
